User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
21mberi,01/14/2019,14:37:06,1,0,1,1,0.93696403503418
21mberi,01/14/2019,14:37:06,6,0,0,0,0.971212148666382
21mberi,01/14/2019,14:37:06,12,0,3,3,0.570605993270874
21mberi,01/14/2019,14:37:06,13,0,2,2,0.753529071807861
21mberi,01/14/2019,14:37:06,14,0,0,0,0.670352935791016
21mberi,01/14/2019,14:37:06,16,0,3,3,0.636934995651245
21mberi,01/14/2019,14:37:06,21,0,1,1,0.720578908920288
21mberi,01/14/2019,14:37:06,23,0,2,2,0.637046098709106
,,,,,,,0.737153023481369
21mberi,01/14/2019,14:37:06,3,1,3,3,0.837329864501953
21mberi,01/14/2019,14:37:06,4,1,1,1,0.770938873291016
21mberi,01/14/2019,14:37:06,5,1,2,2,0.670902967453003
21mberi,01/14/2019,14:37:06,9,1,3,3,1.32073092460632
21mberi,01/14/2019,14:37:06,10,1,0,0,0.753690004348755
21mberi,01/14/2019,14:37:06,15,1,1,1,0.653958082199097
21mberi,01/14/2019,14:37:06,17,1,0,0,0.771242141723633
21mberi,01/14/2019,14:37:06,22,1,2,2,1.10433387756348
,,,,,,,0.860390841960907
21mberi,01/14/2019,14:37:06,2,2,1,1,0.82062292098999
21mberi,01/14/2019,14:37:06,7,2,2,2,0.736860990524292
21mberi,01/14/2019,14:37:06,8,2,2,2,0.686972856521606
21mberi,01/14/2019,14:37:06,11,2,1,1,0.838239192962647
21mberi,01/14/2019,14:37:06,18,2,0,0,0.753672122955322
21mberi,01/14/2019,14:37:06,19,2,3,3,0.936984062194824
21mberi,01/14/2019,14:37:06,20,2,0,0,0.853933811187744
21mberi,01/14/2019,14:37:06,24,2,3,3,1.02074193954468
,,,,,,,0.831003487110138
