User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
22FANEB,01/15/2019,22:20:46,1,0,1,1,0.737254858016968
22FANEB,01/15/2019,22:20:46,5,0,0,0,0.985694885253906
22FANEB,01/15/2019,22:20:46,7,0,2,2,0.886420011520386
22FANEB,01/15/2019,22:20:46,11,0,0,0,1.40195488929749
22FANEB,01/15/2019,22:20:46,14,0,1,1,0.819176912307739
22FANEB,01/15/2019,22:20:46,16,0,2,2,1.25072288513184
22FANEB,01/15/2019,22:20:46,19,0,1,1,1.10267496109009
22FANEB,01/15/2019,22:20:46,22,0,0,0,1.06814503669739
22FANEB,01/15/2019,22:20:46,24,0,2,2,0.902260780334473
,,,,,,,1.01714502440559
22FANEB,01/15/2019,22:20:46,3,1,3,3,0.90174388885498
22FANEB,01/15/2019,22:20:46,4,1,2,2,0.968957901000977
22FANEB,01/15/2019,22:20:46,6,1,1,1,1.80125999450684
22FANEB,01/15/2019,22:20:46,9,1,2,2,1.61855506896973
22FANEB,01/15/2019,22:20:46,13,1,0,0,1.90267992019653
22FANEB,01/15/2019,22:20:46,15,1,1,1,1.3015410900116
22FANEB,01/15/2019,22:20:46,17,1,0,0,1.45288610458374
22FANEB,01/15/2019,22:20:46,20,1,3,3,1.75204706192017
22FANEB,01/15/2019,22:20:46,21,1,2,2,1.25213694572449
22FANEB,01/15/2019,22:20:46,23,1,1,1,0.917769193649292
,,,,,,,1.38695771694183
22FANEB,01/15/2019,22:20:46,2,2,2,2,1.6184561252594
22FANEB,01/15/2019,22:20:46,8,2,0,0,2.30247092247009
22FANEB,01/15/2019,22:20:46,10,2,1,1,1.26728987693787
22FANEB,01/15/2019,22:20:46,12,2,2,2,1.11954092979431
22FANEB,01/15/2019,22:20:46,18,2,1,1,1.11887121200562
,,,,,,,1.48532581329346
