User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
22MRNSA,01/14/2019,22:29:45,1,0,0,0,2.01977014541626
22MRNSA,01/14/2019,22:29:45,2,0,0,0,0.7516028881073
22MRNSA,01/14/2019,22:29:45,9,0,1,1,0.952431917190552
22MRNSA,01/14/2019,22:29:45,13,0,2,2,1.23983907699585
22MRNSA,01/14/2019,22:29:45,14,0,3,3,1.31957006454468
22MRNSA,01/14/2019,22:29:45,19,0,1,1,1.28475499153137
22MRNSA,01/14/2019,22:29:45,20,0,2,2,1.58564209938049
22MRNSA,01/14/2019,22:29:45,21,0,0,0,0.923802137374878
22MRNSA,01/14/2019,22:29:45,22,0,0,0,1.05115699768066
,,,,,,,1.23650781313578
22MRNSA,01/14/2019,22:29:45,4,1,3,3,1.79765105247498
22MRNSA,01/14/2019,22:29:45,5,1,1,1,0.785629987716675
22MRNSA,01/14/2019,22:29:45,6,1,0,0,0.68520712852478
22MRNSA,01/14/2019,22:29:45,8,1,1,1,1.62080001831055
22MRNSA,01/14/2019,22:29:45,11,1,2,2,1.15296316146851
22MRNSA,01/14/2019,22:29:45,15,1,2,2,1.08761286735535
22MRNSA,01/14/2019,22:29:45,18,1,0,0,1.00252389907837
22MRNSA,01/14/2019,22:29:45,24,1,1,1,1.31965184211731
,,,,,,,1.18150499463081
22MRNSA,01/14/2019,22:29:45,3,2,2,2,1.25380110740662
22MRNSA,01/14/2019,22:29:45,7,2,0,0,0.835978984832764
22MRNSA,01/14/2019,22:29:45,10,2,1,1,1.21879291534424
22MRNSA,01/14/2019,22:29:45,12,2,0,0,1.66897392272949
22MRNSA,01/14/2019,22:29:45,16,2,2,2,1.24842596054077
22MRNSA,01/14/2019,22:29:45,17,2,1,1,1.65393996238709
22MRNSA,01/14/2019,22:29:45,23,2,2,2,1.12085199356079
,,,,,,,1.28582354954311
