User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
23FANBO,01/14/2019,22:56:25,4,0,1,1,1.81947207450867
23FANBO,01/14/2019,22:56:25,11,0,3,3,0.498047113418579
23FANBO,01/14/2019,22:56:25,12,0,2,2,2.19834899902344
23FANBO,01/14/2019,22:56:25,15,0,2,2,1.93999195098877
23FANBO,01/14/2019,22:56:25,17,0,1,1,0.663554906845093
23FANBO,01/14/2019,22:56:25,22,0,3,3,1.28584790229797
23FANBO,01/14/2019,22:56:25,23,0,1,1,2.51811099052429
,,,,,,,1.56048199108669
23FANBO,01/14/2019,22:56:25,2,1,1,1,2.38639211654663
23FANBO,01/14/2019,22:56:25,5,1,2,2,1.06825613975525
23FANBO,01/14/2019,22:56:25,6,1,3,3,2.11447501182556
23FANBO,01/14/2019,22:56:25,7,1,1,1,0.620553016662598
23FANBO,01/14/2019,22:56:25,10,1,2,2,1.61513614654541
23FANBO,01/14/2019,22:56:25,13,1,0,0,0.835269927978516
23FANBO,01/14/2019,22:56:25,14,1,0,0,0.868479013442993
23FANBO,01/14/2019,22:56:25,20,1,1,1,1.90297985076904
23FANBO,01/14/2019,22:56:25,24,1,2,2,1.18629503250122
,,,,,,,1.39975958400302
23FANBO,01/14/2019,22:56:25,1,2,1,1,1.10881900787354
23FANBO,01/14/2019,22:56:25,3,2,2,2,1.07527303695679
23FANBO,01/14/2019,22:56:25,8,2,0,0,1.95239090919495
23FANBO,01/14/2019,22:56:25,9,2,1,1,0.436777830123901
23FANBO,01/14/2019,22:56:25,16,2,0,0,2.42002391815186
23FANBO,01/14/2019,22:56:25,18,2,3,3,0.613772869110107
23FANBO,01/14/2019,22:56:25,19,2,1,1,2.10143399238586
23FANBO,01/14/2019,22:56:25,21,2,3,3,1.38679313659668
,,,,,,,1.38691058754921
