User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
24fbada,01/24/2019,12:49:43,1,2,2,2,1.335651159286499
24fbada,01/24/2019,12:49:43,2,1,0,0,0.9537520408630371
24fbada,01/24/2019,12:49:43,3,2,0,0,0.5858008861541748
24fbada,01/24/2019,12:49:43,4,0,3,3,0.6870219707489014
24fbada,01/24/2019,12:49:43,5,0,2,2,0.7693741321563721
24fbada,01/24/2019,12:49:43,6,2,1,1,0.8205420970916748
24fbada,01/24/2019,12:49:43,7,2,3,3,0.6703281402587891
24fbada,01/24/2019,12:49:43,8,1,3,3,0.5557289123535156
24fbada,01/24/2019,12:49:43,8,2,3,-999,-999
24fbada,01/24/2019,12:49:43,9,2,2,2,0.7881388664245605
24fbada,01/24/2019,12:49:43,10,0,0,0,0.5858879089355469
24fbada,01/24/2019,12:49:43,11,0,3,3,0.7200829982757568
24fbada,01/24/2019,12:49:43,12,0,1,1,0.802886962890625
24fbada,01/24/2019,12:49:43,13,1,3,3,0.8190469741821289
24fbada,01/24/2019,12:49:43,14,1,2,2,1.3712639808654785
24fbada,01/24/2019,12:49:43,15,1,1,1,0.6700539588928223
24fbada,01/24/2019,12:49:43,16,1,0,0,1.0703070163726807
24fbada,01/24/2019,12:49:43,17,2,1,1,0.6720349788665771
24fbada,01/24/2019,12:49:43,18,2,0,0,0.7039279937744141
24fbada,01/24/2019,12:49:43,19,0,0,0,0.6697530746459961
24fbada,01/24/2019,12:49:43,20,1,1,1,0.41942596435546875
24fbada,01/24/2019,12:49:43,21,0,2,2,0.670982837677002
24fbada,01/24/2019,12:49:43,22,0,1,1,0.5377590656280518
24fbada,01/24/2019,12:49:43,23,1,2,2,0.6525421142578125
24fbada,01/24/2019,12:49:43,24,2,2,2,0.6535930633544922
