User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
24masva,01/24/2019,12:29:02,0,2,3,-999,-999
24masva,01/24/2019,12:29:02,0,2,2,-999,-999
24masva,01/24/2019,12:29:02,0,2,3,-999,-999
24masva,01/24/2019,12:29:02,0,0,3,-999,-999
24masva,01/24/2019,12:29:02,1,1,1,1,1.586055040359497
24masva,01/24/2019,12:29:02,1,2,1,-999,-999
24masva,01/24/2019,12:29:02,2,1,3,3,1.9213850498199463
24masva,01/24/2019,12:29:02,3,0,1,1,1.353576898574829
24masva,01/24/2019,12:29:02,4,0,3,3,1.0210859775543213
24masva,01/24/2019,12:29:02,5,1,3,3,1.0695509910583496
24masva,01/24/2019,12:29:02,6,1,0,0,1.403926134109497
24masva,01/24/2019,12:29:02,7,0,0,0,0.7533309459686279
24masva,01/24/2019,12:29:02,8,0,2,2,1.1550331115722656
24masva,01/24/2019,12:29:02,8,2,0,-999,-999
24masva,01/24/2019,12:29:02,9,1,2,2,1.0885069370269775
24masva,01/24/2019,12:29:02,10,2,2,2,0.5688149929046631
24masva,01/24/2019,12:29:02,10,1,0,-999,-999
24masva,01/24/2019,12:29:02,11,0,0,0,1.3525431156158447
24masva,01/24/2019,12:29:02,12,0,2,2,1.074099063873291
24masva,01/24/2019,12:29:02,13,2,1,1,1.937474012374878
24masva,01/24/2019,12:29:02,14,2,0,0,0.985727071762085
24masva,01/24/2019,12:29:02,15,0,1,1,0.9541680812835693
24masva,01/24/2019,12:29:02,15,1,2,-999,-999
24masva,01/24/2019,12:29:02,16,1,1,1,1.9528229236602783
24masva,01/24/2019,12:29:02,16,2,3,-999,-999
24masva,01/24/2019,12:29:02,17,2,2,2,1.4545950889587402
24masva,01/24/2019,12:29:02,18,2,3,3,0.7857210636138916
24masva,01/24/2019,12:29:02,19,0,3,3,0.7520220279693604
24masva,01/24/2019,12:29:02,20,1,1,1,1.1033549308776855
24masva,01/24/2019,12:29:02,21,2,1,1,0.637221097946167
24masva,01/24/2019,12:29:02,22,1,3,3,1.7561569213867188
24masva,01/24/2019,12:29:02,22,0,1,-999,-999
24masva,01/24/2019,12:29:02,23,0,3,3,1.7215039730072021
24masva,01/24/2019,12:29:02,24,1,3,3,0.7864360809326172
