User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
24myosa,01/24/2019,12:53:42,1,0,1,1,1.35269713401794
24myosa,01/24/2019,12:53:42,3,0,1,1,0.719051122665405
24myosa,01/24/2019,12:53:42,4,0,0,0,0.852331876754761
24myosa,01/24/2019,12:53:42,8,0,3,3,0.48721194267273
24myosa,01/24/2019,12:53:42,12,0,2,2,0.53754997253418
24myosa,01/24/2019,12:53:42,13,0,3,3,0.419419050216675
24myosa,01/24/2019,12:53:42,20,0,2,2,0.520328998565674
24myosa,01/24/2019,12:53:42,23,0,0,0,1.15293192863464
24myosa,01/24/2019,12:53:42,24,0,1,1,0.602771997451782
,,,,,,,0.738254891501533
24myosa,01/24/2019,12:53:42,5,1,0,0,0.720005989074707
24myosa,01/24/2019,12:53:42,7,1,2,2,0.486937999725342
24myosa,01/24/2019,12:53:42,9,1,3,3,0.654613971710205
24myosa,01/24/2019,12:53:42,15,1,3,3,0.503139972686768
24myosa,01/24/2019,12:53:42,16,1,1,1,0.57005786895752
24myosa,01/24/2019,12:53:42,17,1,0,0,0.352108955383301
24myosa,01/24/2019,12:53:42,21,1,2,2,0.953318119049072
24myosa,01/24/2019,12:53:42,22,1,1,1,0.670189142227173
,,,,,,,0.613796502351761
24myosa,01/24/2019,12:53:42,2,2,3,3,1.05289578437805
24myosa,01/24/2019,12:53:42,6,2,1,1,0.737328052520752
24myosa,01/24/2019,12:53:42,10,2,0,0,0.65521502494812
24myosa,01/24/2019,12:53:42,11,2,1,1,0.569244861602783
24myosa,01/24/2019,12:53:42,14,2,2,2,0.653534173965454
24myosa,01/24/2019,12:53:42,18,2,3,3,0.471869945526123
24myosa,01/24/2019,12:53:42,19,2,0,0,0.502701044082642
,,,,,,,0.663255555289132
