User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
25fnasa,01/24/2019,13:07:50,1,0,2,2,1.0410630702972412
25fnasa,01/24/2019,13:07:50,2,0,3,3,0.7011690139770508
25fnasa,01/24/2019,13:07:50,3,1,0,0,0.6532790660858154
25fnasa,01/24/2019,13:07:50,4,1,0,0,0.5719649791717529
25fnasa,01/24/2019,13:07:50,5,2,1,1,0.6533150672912598
25fnasa,01/24/2019,13:07:50,6,0,1,1,0.5699470043182373
25fnasa,01/24/2019,13:07:50,7,2,3,3,0.652134895324707
25fnasa,01/24/2019,13:07:50,8,0,0,0,0.5535950660705566
25fnasa,01/24/2019,13:07:50,9,1,1,1,0.6374621391296387
25fnasa,01/24/2019,13:07:50,10,2,0,0,0.6851601600646973
25fnasa,01/24/2019,13:07:50,11,0,2,2,0.4843449592590332
25fnasa,01/24/2019,13:07:50,12,1,3,3,0.6039290428161621
25fnasa,01/24/2019,13:07:50,13,1,2,2,0.7872059345245361
25fnasa,01/24/2019,13:07:50,14,0,0,0,0.5692319869995117
25fnasa,01/24/2019,13:07:50,15,1,2,2,0.669776201248169
25fnasa,01/24/2019,13:07:50,16,2,2,2,0.6346120834350586
25fnasa,01/24/2019,13:07:50,17,1,3,3,0.8035991191864014
25fnasa,01/24/2019,13:07:50,18,0,3,3,0.752129077911377
25fnasa,01/24/2019,13:07:50,19,2,1,1,0.5871648788452148
25fnasa,01/24/2019,13:07:50,20,0,1,1,0.5402851104736328
25fnasa,01/24/2019,13:07:50,20,2,2,-999,-999
25fnasa,01/24/2019,13:07:50,21,2,0,0,1.0206248760223389
25fnasa,01/24/2019,13:07:50,22,2,3,3,0.8378098011016846
25fnasa,01/24/2019,13:07:50,23,1,1,1,0.8373899459838867
25fnasa,01/24/2019,13:07:50,24,0,2,2,0.5871579647064209
