User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
25madsa,01/24/2019,13:11:59,5,0,1,1,0.552481889724731
25madsa,01/24/2019,13:11:59,6,0,3,3,0.570816040039063
25madsa,01/24/2019,13:11:59,9,0,3,3,1.26936101913452
25madsa,01/24/2019,13:11:59,10,0,0,0,0.869369029998779
25madsa,01/24/2019,13:11:59,13,0,2,2,0.535344123840332
25madsa,01/24/2019,13:11:59,14,0,2,2,0.436336994171143
25madsa,01/24/2019,13:11:59,16,0,1,1,0.552582979202271
25madsa,01/24/2019,13:11:59,17,0,0,0,0.788081169128418
,,,,,,,0.696796655654907
25madsa,01/24/2019,13:11:59,3,1,2,2,0.537258863449097
25madsa,01/24/2019,13:11:59,4,1,0,0,0.902344942092896
25madsa,01/24/2019,13:11:59,8,1,3,3,0.454342842102051
25madsa,01/24/2019,13:11:59,11,1,0,0,0.55380392074585
25madsa,01/24/2019,13:11:59,15,1,3,3,1.40462994575501
25madsa,01/24/2019,13:11:59,18,1,1,1,0.704513072967529
25madsa,01/24/2019,13:11:59,21,1,2,2,0.486123085021973
25madsa,01/24/2019,13:11:59,22,1,1,1,0.903135061264038
,,,,,,,0.743268966674805
25madsa,01/24/2019,13:11:59,1,2,0,0,0.773069858551025
25madsa,01/24/2019,13:11:59,2,2,1,1,0.553371906280518
25madsa,01/24/2019,13:11:59,7,2,3,3,0.471620082855225
25madsa,01/24/2019,13:11:59,12,2,0,0,0.440367937088013
25madsa,01/24/2019,13:11:59,19,2,1,1,0.835810899734497
25madsa,01/24/2019,13:11:59,20,2,2,2,0.802973985671997
25madsa,01/24/2019,13:11:59,23,2,0,0,0.719744205474854
25madsa,01/24/2019,13:11:59,24,2,1,1,0.537255048751831
,,,,,,,0.641776740550995
