User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
25maksh,01/24/2019,13:00:26,7,0,2,2,0.553686857223511
25maksh,01/24/2019,13:00:26,9,0,0,0,0.769990921020508
25maksh,01/24/2019,13:00:26,12,0,2,2,0.504235029220581
25maksh,01/24/2019,13:00:26,14,0,0,0,0.971508979797363
25maksh,01/24/2019,13:00:26,15,0,1,1,0.553795099258423
25maksh,01/24/2019,13:00:26,16,0,3,3,0.471717119216919
25maksh,01/24/2019,13:00:26,21,0,1,1,0.520292043685913
25maksh,01/24/2019,13:00:26,22,0,3,3,1.18717098236084
,,,,,,,0.691549628973007
25maksh,01/24/2019,13:00:26,4,1,2,2,0.78668999671936
25maksh,01/24/2019,13:00:26,5,1,0,0,1.03745007514954
25maksh,01/24/2019,13:00:26,6,1,2,2,0.67000412940979
25maksh,01/24/2019,13:00:26,8,1,3,3,0.536952018737793
25maksh,01/24/2019,13:00:26,13,1,1,1,1.00343799591064
25maksh,01/24/2019,13:00:26,18,1,1,1,1.02031898498535
25maksh,01/24/2019,13:00:26,20,1,0,0,0.686930894851685
25maksh,01/24/2019,13:00:26,23,1,3,3,0.502434968948364
,,,,,,,0.780527383089066
25maksh,01/24/2019,13:00:26,1,2,0,0,1.21955013275146
25maksh,01/24/2019,13:00:26,2,2,3,3,0.952353954315186
25maksh,01/24/2019,13:00:26,3,2,1,1,0.905232906341553
25maksh,01/24/2019,13:00:26,10,2,0,0,0.520406007766724
25maksh,01/24/2019,13:00:26,11,2,2,2,0.785623073577881
25maksh,01/24/2019,13:00:26,17,2,2,2,0.585363149642944
25maksh,01/24/2019,13:00:26,19,2,1,1,0.554646015167236
25maksh,01/24/2019,13:00:26,24,2,0,0,0.869570016860962
,,,,,,,0.799093157052994
