User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
25MMINN,01/15/2019,22:26:20,3,0,2,2,1.45281910896301
25MMINN,01/15/2019,22:26:20,5,0,3,3,2.06831002235413
25MMINN,01/15/2019,22:26:20,7,0,0,0,1.11919903755188
25MMINN,01/15/2019,22:26:20,8,0,1,1,1.85264778137207
25MMINN,01/15/2019,22:26:20,13,0,1,1,0.669625997543335
25MMINN,01/15/2019,22:26:20,14,0,3,3,1.05193901062012
25MMINN,01/15/2019,22:26:20,18,0,0,0,0.820021152496338
25MMINN,01/15/2019,22:26:20,20,0,2,2,1.18761920928955
25MMINN,01/15/2019,22:26:20,24,0,3,3,0.486133098602295
,,,,,,,1.18981271319919
25MMINN,01/15/2019,22:26:20,4,1,3,3,1.88682007789612
25MMINN,01/15/2019,22:26:20,10,1,0,0,1.2513439655304
25MMINN,01/15/2019,22:26:20,12,1,1,1,1.66982889175415
25MMINN,01/15/2019,22:26:20,15,1,1,1,1.66973996162415
25MMINN,01/15/2019,22:26:20,17,1,2,2,1.05278182029724
25MMINN,01/15/2019,22:26:20,19,1,2,2,0.853564977645874
25MMINN,01/15/2019,22:26:20,21,1,0,0,1.43516802787781
25MMINN,01/15/2019,22:26:20,23,1,3,3,0.754366159439087
,,,,,,,1.3217017352581
25MMINN,01/15/2019,22:26:20,1,2,0,0,1.63674998283386
25MMINN,01/15/2019,22:26:20,2,2,3,3,1.23544979095459
25MMINN,01/15/2019,22:26:20,6,2,0,0,1.16851902008057
25MMINN,01/15/2019,22:26:20,9,2,2,2,1.00304198265076
25MMINN,01/15/2019,22:26:20,11,2,2,2,1.35156989097595
25MMINN,01/15/2019,22:26:20,16,2,3,3,0.768628120422363
25MMINN,01/15/2019,22:26:20,22,2,1,1,1.56952595710754
,,,,,,,1.24764067786081
