User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
25mrrais,01/24/2019,13:17:14,3,0,0,0,0.837329864501953
25mrrais,01/24/2019,13:17:14,5,0,2,2,0.669980049133301
25mrrais,01/24/2019,13:17:14,6,0,2,2,0.806061983108521
25mrrais,01/24/2019,13:17:14,9,0,1,1,0.919389009475708
25mrrais,01/24/2019,13:17:14,10,0,1,1,0.551645040512085
25mrrais,01/24/2019,13:17:14,14,0,3,3,0.768793106079102
25mrrais,01/24/2019,13:17:14,21,0,0,0,0.52074384689331
25mrrais,01/24/2019,13:17:14,22,0,3,3,0.919832944869995
25mrrais,01/24/2019,13:17:14,1,1,3,3,1.50381588935852
,,,,,,,0.833065748214722
25mrrais,01/24/2019,13:17:14,2,1,1,1,0.987359046936035
25mrrais,01/24/2019,13:17:14,4,1,3,3,1.00378799438477
25mrrais,01/24/2019,13:17:14,7,1,2,2,0.537165880203247
25mrrais,01/24/2019,13:17:14,18,1,0,0,1.23750710487366
25mrrais,01/24/2019,13:17:14,20,1,0,0,0.820327997207642
25mrrais,01/24/2019,13:17:14,23,1,1,1,0.920581102371216
25mrrais,01/24/2019,13:17:14,24,1,1,1,0.935632944107056
,,,,,,,0.920337438583374
25mrrais,01/24/2019,13:17:14,8,2,2,2,0.452693939208984
25mrrais,01/24/2019,13:17:14,11,2,0,0,0.786849975585938
25mrrais,01/24/2019,13:17:14,12,2,3,3,1.18719410896301
25mrrais,01/24/2019,13:17:14,13,2,2,2,0.669536828994751
25mrrais,01/24/2019,13:17:14,15,2,3,3,0.551148891448975
25mrrais,01/24/2019,13:17:14,16,2,1,1,0.819908857345581
25mrrais,01/24/2019,13:17:14,17,2,0,0,0.753412961959839
25mrrais,01/24/2019,13:17:14,19,2,1,1,1.48936319351196
,,,,,,,0.83876359462738
