User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
26FCHSA,01/15/2019,22:38:47,1,0,0,0,0.919948816299438
26FCHSA,01/15/2019,22:38:47,3,0,3,3,0.986530065536499
26FCHSA,01/15/2019,22:38:47,5,0,0,0,1.15315079689026
26FCHSA,01/15/2019,22:38:47,9,0,3,3,1.00303292274475
26FCHSA,01/15/2019,22:38:47,11,0,2,2,0.486534118652344
26FCHSA,01/15/2019,22:38:47,16,0,1,1,0.620110034942627
26FCHSA,01/15/2019,22:38:47,21,0,1,1,0.603648900985718
26FCHSA,01/15/2019,22:38:47,22,0,2,2,0.769438982009888
,,,,,,,0.81779932975769
26FCHSA,01/15/2019,22:38:47,6,1,3,3,0.520228862762451
26FCHSA,01/15/2019,22:38:47,7,1,0,0,0.587093114852905
26FCHSA,01/15/2019,22:38:47,8,1,1,1,0.603200912475586
26FCHSA,01/15/2019,22:38:47,10,1,2,2,0.68535304069519
26FCHSA,01/15/2019,22:38:47,12,1,0,0,0.752578973770142
26FCHSA,01/15/2019,22:38:47,13,1,2,2,0.885249853134155
26FCHSA,01/15/2019,22:38:47,23,1,3,3,0.469750165939331
26FCHSA,01/15/2019,22:38:47,24,1,1,1,0.603814125061035
,,,,,,,0.63840863108635
26FCHSA,01/15/2019,22:38:47,2,2,0,0,0.919909000396728
26FCHSA,01/15/2019,22:38:47,4,2,3,3,0.670023918151856
26FCHSA,01/15/2019,22:38:47,14,2,1,1,0.936788082122803
26FCHSA,01/15/2019,22:38:47,15,2,2,2,0.836220979690552
26FCHSA,01/15/2019,22:38:47,17,2,3,3,1.00187087059021
26FCHSA,01/15/2019,22:38:47,18,2,2,2,0.585592985153198
26FCHSA,01/15/2019,22:38:47,19,2,0,0,0.669951915740967
26FCHSA,01/15/2019,22:38:47,20,2,1,1,0.519155979156494
,,,,,,,0.767439216375351
