User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
26MPNKO,01/15/2019,17:03:12,2,0,2,2,1.33814907073975
26MPNKO,01/15/2019,17:03:12,4,0,0,0,1.58790993690491
26MPNKO,01/15/2019,17:03:12,6,0,1,1,1.22002506256104
26MPNKO,01/15/2019,17:03:12,10,0,0,0,1.21939587593079
26MPNKO,01/15/2019,17:03:12,15,0,2,2,2.05462098121643
26MPNKO,01/15/2019,17:03:12,16,0,3,3,0.818751096725464
26MPNKO,01/15/2019,17:03:12,17,0,1,1,1.22177505493164
26MPNKO,01/15/2019,17:03:12,18,0,3,3,1.1379988193512
26MPNKO,01/15/2019,17:03:12,19,0,2,2,2.0205340385437
26MPNKO,01/15/2019,17:03:12,20,0,0,0,1.15323901176453
26MPNKO,01/15/2019,17:03:12,21,0,1,1,1.65433692932129
,,,,,,,1.40243053436279
26MPNKO,01/15/2019,17:03:12,1,1,0,0,1.38877606391907
26MPNKO,01/15/2019,17:03:12,5,1,2,2,1.3540940284729
26MPNKO,01/15/2019,17:03:12,8,1,3,3,2.28776597976685
26MPNKO,01/15/2019,17:03:12,9,1,3,3,0.953773975372314
26MPNKO,01/15/2019,17:03:12,12,1,1,1,1.05307102203369
,,,,,,,1.40749621391296
26MPNKO,01/15/2019,17:03:12,3,2,1,1,1.35417413711548
26MPNKO,01/15/2019,17:03:12,7,2,2,2,2.17014694213867
26MPNKO,01/15/2019,17:03:12,11,2,0,0,1.02040004730225
26MPNKO,01/15/2019,17:03:12,13,2,3,3,1.15354108810425
26MPNKO,01/15/2019,17:03:12,14,2,2,2,2.13738107681274
26MPNKO,01/15/2019,17:03:12,22,2,1,1,1.58778619766235
26MPNKO,01/15/2019,17:03:12,23,2,2,2,1.2866039276123
26MPNKO,01/15/2019,17:03:12,24,2,3,3,1.75454592704773
,,,,,,,1.55807241797447
