User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
28FHEFA,01/18/2019,14:28:01,1,0,3,3,1.20484614372253
28FHEFA,01/18/2019,14:28:01,3,0,2,2,1.17057394981384
28FHEFA,01/18/2019,14:28:01,8,0,1,1,0.986840963363647
28FHEFA,01/18/2019,14:28:01,12,0,1,1,0.487993001937866
28FHEFA,01/18/2019,14:28:01,14,0,0,0,1.25147294998169
28FHEFA,01/18/2019,14:28:01,15,0,3,3,1.08700489997864
28FHEFA,01/18/2019,14:28:01,19,0,2,2,0.886894941329956
28FHEFA,01/18/2019,14:28:01,22,0,0,0,1.22016406059265
28FHEFA,01/18/2019,14:28:01,23,0,3,3,1.18809199333191
,,,,,,,1.05376476711697
28FHEFA,01/18/2019,14:28:01,2,1,1,1,1.60423803329468
28FHEFA,01/18/2019,14:28:01,4,1,0,0,1.3697509765625
28FHEFA,01/18/2019,14:28:01,7,1,3,3,1.01970100402832
28FHEFA,01/18/2019,14:28:01,9,1,2,2,0.91940712928772
28FHEFA,01/18/2019,14:28:01,10,1,2,2,0.771951913833618
28FHEFA,01/18/2019,14:28:01,11,1,1,1,0.954779148101806
28FHEFA,01/18/2019,14:28:01,16,1,0,0,1.45306205749512
,,,,,,,1.15612718037197
28FHEFA,01/18/2019,14:28:01,5,2,2,2,1.40511298179626
28FHEFA,01/18/2019,14:28:01,6,2,3,3,1.20384478569031
28FHEFA,01/18/2019,14:28:01,13,2,2,2,0.68809986114502
28FHEFA,01/18/2019,14:28:01,17,2,1,1,1.12060809135437
28FHEFA,01/18/2019,14:28:01,18,2,0,0,1.00386786460876
28FHEFA,01/18/2019,14:28:01,20,2,1,1,1.40145897865295
28FHEFA,01/18/2019,14:28:01,21,2,3,3,1.02196097373962
28FHEFA,01/18/2019,14:28:01,24,2,0,0,1.13636493682861
,,,,,,,1.12266480922699
