User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
29MSTBA,01/24/2019,12:35:37,7,0,1,1,1.13652801513672
29MSTBA,01/24/2019,12:35:37,10,0,2,2,1.10301899909973
29MSTBA,01/24/2019,12:35:37,12,0,2,2,1.15267705917358
29MSTBA,01/24/2019,12:35:37,13,0,3,3,1.25274896621704
29MSTBA,01/24/2019,12:35:37,17,0,0,0,0.672122001647949
29MSTBA,01/24/2019,12:35:37,18,0,0,0,0.686731100082397
29MSTBA,01/24/2019,12:35:37,21,0,1,1,0.787252902984619
29MSTBA,01/24/2019,12:35:37,22,0,3,3,1.10409283638
,,,,,,,0.986896485090256
29MSTBA,01/24/2019,12:35:37,1,1,2,2,1.41920304298401
29MSTBA,01/24/2019,12:35:37,4,1,1,1,1.62087512016296
29MSTBA,01/24/2019,12:35:37,5,1,3,3,1.22064208984375
29MSTBA,01/24/2019,12:35:37,9,1,2,2,1.30329298973084
29MSTBA,01/24/2019,12:35:37,14,1,3,3,0.753446817398071
29MSTBA,01/24/2019,12:35:37,15,1,1,1,1.06909704208374
29MSTBA,01/24/2019,12:35:37,20,1,0,0,0.870471954345703
29MSTBA,01/24/2019,12:35:37,23,1,0,0,0.786397933959961
29MSTBA,01/24/2019,12:35:37,24,1,2,2,0.886033058166504
,,,,,,,1.10327333874173
29MSTBA,01/24/2019,12:35:37,2,2,2,2,1.0717978477478
29MSTBA,01/24/2019,12:35:37,3,2,3,3,1.97232794761658
29MSTBA,01/24/2019,12:35:37,6,2,3,3,0.985903978347778
29MSTBA,01/24/2019,12:35:37,8,2,0,0,0.819385051727295
29MSTBA,01/24/2019,12:35:37,11,2,1,1,1.29199004173279
29MSTBA,01/24/2019,12:35:37,16,2,0,0,1.35373497009277
29MSTBA,01/24/2019,12:35:37,19,2,2,2,0.703657150268555
,,,,,,,1.1712567125048
