User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
27FCLIS,01/15/2019,16:51:13,1,2,2,2,1.1217119693756104
27FCLIS,01/15/2019,16:51:13,2,1,2,2,1.1539170742034912
27FCLIS,01/15/2019,16:51:13,3,0,2,2,0.7854089736938477
27FCLIS,01/15/2019,16:51:13,4,1,3,3,2.153862953186035
27FCLIS,01/15/2019,16:51:13,5,0,3,3,2.138514995574951
27FCLIS,01/15/2019,16:51:13,5,1,0,-999,-999
27FCLIS,01/15/2019,16:51:13,6,2,0,0,1.019118070602417
27FCLIS,01/15/2019,16:51:13,7,2,1,1,0.8865180015563965
27FCLIS,01/15/2019,16:51:13,8,1,1,1,1.552976131439209
27FCLIS,01/15/2019,16:51:13,9,0,1,1,0.8691990375518799
27FCLIS,01/15/2019,16:51:13,10,0,1,1,1.171320915222168
27FCLIS,01/15/2019,16:51:13,11,1,0,0,0.871042013168335
27FCLIS,01/15/2019,16:51:13,12,1,3,3,1.6876180171966553
27FCLIS,01/15/2019,16:51:13,12,0,0,-999,-999
27FCLIS,01/15/2019,16:51:13,13,2,3,3,0.5540871620178223
27FCLIS,01/15/2019,16:51:13,13,2,1,-999,-999
27FCLIS,01/15/2019,16:51:13,13,2,0,-999,-999
27FCLIS,01/15/2019,16:51:13,14,2,3,3,1.3846712112426758
27FCLIS,01/15/2019,16:51:13,14,2,2,-999,-999
27FCLIS,01/15/2019,16:51:13,15,0,3,3,1.2862401008605957
27FCLIS,01/15/2019,16:51:13,16,0,0,0,1.020543098449707
27FCLIS,01/15/2019,16:51:13,16,0,2,-999,-999
27FCLIS,01/15/2019,16:51:13,16,1,2,-999,-999
27FCLIS,01/15/2019,16:51:13,16,1,1,-999,-999
27FCLIS,01/15/2019,16:51:13,16,2,2,-999,-999
27FCLIS,01/15/2019,16:51:13,17,1,2,2,1.2195208072662354
27FCLIS,01/15/2019,16:51:13,17,0,2,-999,-999
27FCLIS,01/15/2019,16:51:13,18,1,3,3,1.1712548732757568
27FCLIS,01/15/2019,16:51:13,19,0,3,3,1.4534997940063477
27FCLIS,01/15/2019,16:51:13,20,1,0,0,0.869175910949707
27FCLIS,01/15/2019,16:51:13,21,2,0,0,0.7709140777587891
27FCLIS,01/15/2019,16:51:13,22,2,1,1,0.9206202030181885
27FCLIS,01/15/2019,16:51:13,22,1,1,-999,-999
27FCLIS,01/15/2019,16:51:13,22,0,1,-999,-999
27FCLIS,01/15/2019,16:51:13,23,0,1,1,1.7210278511047363
27FCLIS,01/15/2019,16:51:13,24,1,0,0,0.6700601577758789
