User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
21fbhpa,01/24/2019,13:04:05,1,2,3,3,1.2840538024902344
21fbhpa,01/24/2019,13:04:05,2,0,0,0,0.823477029800415
21fbhpa,01/24/2019,13:04:05,3,0,2,2,0.9352920055389404
21fbhpa,01/24/2019,13:04:05,4,1,3,3,0.5196280479431152
21fbhpa,01/24/2019,13:04:05,5,1,1,1,0.8039929866790771
21fbhpa,01/24/2019,13:04:05,6,1,0,0,0.4200148582458496
21fbhpa,01/24/2019,13:04:05,7,2,2,2,0.5712130069732666
21fbhpa,01/24/2019,13:04:05,8,0,2,2,0.5863649845123291
21fbhpa,01/24/2019,13:04:05,9,2,3,3,0.6036710739135742
21fbhpa,01/24/2019,13:04:05,10,2,0,0,0.8350279331207275
21fbhpa,01/24/2019,13:04:05,11,2,2,2,0.8709568977355957
21fbhpa,01/24/2019,13:04:05,12,0,3,3,0.649960994720459
21fbhpa,01/24/2019,13:04:05,13,2,1,1,0.7368960380554199
21fbhpa,01/24/2019,13:04:05,14,1,2,2,0.9542019367218018
21fbhpa,01/24/2019,13:04:05,15,0,3,3,0.7039260864257812
21fbhpa,01/24/2019,13:04:05,16,1,0,0,0.6026978492736816
21fbhpa,01/24/2019,13:04:05,17,1,1,1,0.4540259838104248
21fbhpa,01/24/2019,13:04:05,17,1,2,-999,-999
21fbhpa,01/24/2019,13:04:05,18,2,0,0,0.820167064666748
21fbhpa,01/24/2019,13:04:05,19,0,1,1,0.8523979187011719
21fbhpa,01/24/2019,13:04:05,20,0,0,0,0.6208240985870361
21fbhpa,01/24/2019,13:04:05,21,0,1,1,0.5543961524963379
21fbhpa,01/24/2019,13:04:05,22,2,1,1,0.6863820552825928
21fbhpa,01/24/2019,13:04:05,23,1,3,3,0.7030160427093506
21fbhpa,01/24/2019,13:04:05,24,2,3,3,0.5516600608825684
