User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
23mzura,01/24/2019,13:23:43,0,0,2,-999,-999
23mzura,01/24/2019,13:23:43,1,1,0,0,2.0359389781951904
23mzura,01/24/2019,13:23:43,2,1,1,1,0.8549470901489258
23mzura,01/24/2019,13:23:43,3,0,3,3,0.6527090072631836
23mzura,01/24/2019,13:23:43,4,2,2,2,0.7526137828826904
23mzura,01/24/2019,13:23:43,5,2,3,3,0.6358928680419922
23mzura,01/24/2019,13:23:43,6,0,0,0,0.602186918258667
23mzura,01/24/2019,13:23:43,7,0,3,3,0.6365909576416016
23mzura,01/24/2019,13:23:43,8,2,1,1,1.0863959789276123
23mzura,01/24/2019,13:23:43,9,2,3,3,0.5873651504516602
23mzura,01/24/2019,13:23:43,10,0,1,1,0.8211839199066162
23mzura,01/24/2019,13:23:43,11,0,1,1,0.6545679569244385
23mzura,01/24/2019,13:23:43,12,1,3,3,1.0540030002593994
23mzura,01/24/2019,13:23:43,13,2,1,1,0.6024007797241211
23mzura,01/24/2019,13:23:43,14,2,0,0,0.6027021408081055
23mzura,01/24/2019,13:23:43,15,1,3,3,0.8527388572692871
23mzura,01/24/2019,13:23:43,16,2,0,0,0.6033179759979248
23mzura,01/24/2019,13:23:43,17,0,0,0,0.48558592796325684
23mzura,01/24/2019,13:23:43,18,1,0,0,0.4547388553619385
23mzura,01/24/2019,13:23:43,19,0,2,2,0.7197048664093018
23mzura,01/24/2019,13:23:43,20,1,1,1,0.6880218982696533
23mzura,01/24/2019,13:23:43,20,1,2,-999,-999
23mzura,01/24/2019,13:23:43,21,1,2,2,0.83548903465271
23mzura,01/24/2019,13:23:43,22,2,2,2,0.5532100200653076
23mzura,01/24/2019,13:23:43,23,0,2,2,0.5346860885620117
23mzura,01/24/2019,13:23:43,24,1,0,0,0.5240581035614014
