User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
25MMINN,01/15/2019,22:26:20,1,2,0,0,1.6367499828338623
25MMINN,01/15/2019,22:26:20,2,2,3,3,1.2354497909545898
25MMINN,01/15/2019,22:26:20,2,0,0,-999,-999
25MMINN,01/15/2019,22:26:20,2,1,2,-999,-999
25MMINN,01/15/2019,22:26:20,3,0,2,2,1.4528191089630127
25MMINN,01/15/2019,22:26:20,3,1,0,-999,-999
25MMINN,01/15/2019,22:26:20,3,2,1,-999,-999
25MMINN,01/15/2019,22:26:20,4,1,3,3,1.8868200778961182
25MMINN,01/15/2019,22:26:20,5,0,3,3,2.068310022354126
25MMINN,01/15/2019,22:26:20,6,2,0,0,1.1685190200805664
25MMINN,01/15/2019,22:26:20,7,0,0,0,1.1191990375518799
25MMINN,01/15/2019,22:26:20,7,1,3,-999,-999
25MMINN,01/15/2019,22:26:20,8,0,1,1,1.8526477813720703
25MMINN,01/15/2019,22:26:20,9,2,2,2,1.0030419826507568
25MMINN,01/15/2019,22:26:20,10,1,0,0,1.2513439655303955
25MMINN,01/15/2019,22:26:20,10,0,2,-999,-999
25MMINN,01/15/2019,22:26:20,11,2,2,2,1.3515698909759521
25MMINN,01/15/2019,22:26:20,12,1,1,1,1.6698288917541504
25MMINN,01/15/2019,22:26:20,13,0,1,1,0.669625997543335
25MMINN,01/15/2019,22:26:20,14,0,3,3,1.0519390106201172
25MMINN,01/15/2019,22:26:20,15,1,1,1,1.6697399616241455
25MMINN,01/15/2019,22:26:20,16,2,3,3,0.7686281204223633
25MMINN,01/15/2019,22:26:20,17,1,2,2,1.0527818202972412
25MMINN,01/15/2019,22:26:20,17,2,1,-999,-999
25MMINN,01/15/2019,22:26:20,17,2,0,-999,-999
25MMINN,01/15/2019,22:26:20,17,2,3,-999,-999
25MMINN,01/15/2019,22:26:20,18,0,0,0,0.8200211524963379
25MMINN,01/15/2019,22:26:20,19,1,2,2,0.853564977645874
25MMINN,01/15/2019,22:26:20,20,0,2,2,1.1876192092895508
25MMINN,01/15/2019,22:26:20,21,1,0,0,1.4351680278778076
25MMINN,01/15/2019,22:26:20,22,2,1,1,1.569525957107544
25MMINN,01/15/2019,22:26:20,23,1,3,3,0.7543661594390869
25MMINN,01/15/2019,22:26:20,24,0,3,3,0.4861330986022949
