User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
27FUMRA,01/15/2019,09:11:16,0,1,3,-999,-999
27FUMRA,01/15/2019,09:11:16,1,2,0,0,1.1205449104309082
27FUMRA,01/15/2019,09:11:16,2,2,2,2,1.819593906402588
27FUMRA,01/15/2019,09:11:16,2,1,2,-999,-999
27FUMRA,01/15/2019,09:11:16,2,0,1,-999,-999
27FUMRA,01/15/2019,09:11:16,3,2,1,1,2.1368660926818848
27FUMRA,01/15/2019,09:11:16,4,0,3,3,1.3877441883087158
27FUMRA,01/15/2019,09:11:16,4,2,1,-999,-999
27FUMRA,01/15/2019,09:11:16,5,1,1,1,2.0706441402435303
27FUMRA,01/15/2019,09:11:16,6,2,3,3,0.9702250957489014
27FUMRA,01/15/2019,09:11:16,6,0,2,-999,-999
27FUMRA,01/15/2019,09:11:16,7,1,1,1,1.702836036682129
27FUMRA,01/15/2019,09:11:16,8,1,0,0,0.9204070568084717
27FUMRA,01/15/2019,09:11:16,9,0,0,0,1.2363109588623047
27FUMRA,01/15/2019,09:11:16,10,2,3,3,1.0365979671478271
27FUMRA,01/15/2019,09:11:16,11,0,1,1,0.970404863357544
27FUMRA,01/15/2019,09:11:16,12,0,3,3,0.6526651382446289
27FUMRA,01/15/2019,09:11:16,13,2,0,0,0.9544131755828857
27FUMRA,01/15/2019,09:11:16,14,0,0,0,0.687453031539917
27FUMRA,01/15/2019,09:11:16,15,1,2,2,0.7038130760192871
27FUMRA,01/15/2019,09:11:16,16,1,3,3,0.6537678241729736
27FUMRA,01/15/2019,09:11:16,17,0,2,2,0.790881872177124
27FUMRA,01/15/2019,09:11:16,18,2,2,2,0.8543410301208496
27FUMRA,01/15/2019,09:11:16,19,1,0,0,1.220541000366211
27FUMRA,01/15/2019,09:11:16,20,1,3,3,0.736875057220459
27FUMRA,01/15/2019,09:11:16,21,2,0,0,1.219567060470581
27FUMRA,01/15/2019,09:11:16,22,2,2,2,0.7037060260772705
27FUMRA,01/15/2019,09:11:16,23,1,2,2,0.5036640167236328
27FUMRA,01/15/2019,09:11:16,24,0,1,1,0.7705841064453125
