User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
22MRNSA,01/14/2019,22:29:45,1,0,0,0,2.0197701454162598
22MRNSA,01/14/2019,22:29:45,2,0,0,0,0.7516028881072998
22MRNSA,01/14/2019,22:29:45,3,2,2,2,1.2538011074066162
22MRNSA,01/14/2019,22:29:45,4,1,3,3,1.7976510524749756
22MRNSA,01/14/2019,22:29:45,5,1,1,1,0.7856299877166748
22MRNSA,01/14/2019,22:29:45,6,1,0,0,0.6852071285247803
22MRNSA,01/14/2019,22:29:45,7,2,0,0,0.8359789848327637
22MRNSA,01/14/2019,22:29:45,8,1,1,1,1.6208000183105469
22MRNSA,01/14/2019,22:29:45,9,0,1,1,0.9524319171905518
22MRNSA,01/14/2019,22:29:45,10,2,1,1,1.2187929153442383
22MRNSA,01/14/2019,22:29:45,11,1,2,2,1.1529631614685059
22MRNSA,01/14/2019,22:29:45,12,2,0,0,1.6689739227294922
22MRNSA,01/14/2019,22:29:45,12,2,3,-999,-999
22MRNSA,01/14/2019,22:29:45,13,0,2,2,1.2398390769958496
22MRNSA,01/14/2019,22:29:45,14,0,3,3,1.3195700645446777
22MRNSA,01/14/2019,22:29:45,15,1,2,2,1.0876128673553467
22MRNSA,01/14/2019,22:29:45,16,2,2,2,1.2484259605407715
22MRNSA,01/14/2019,22:29:45,17,2,1,1,1.653939962387085
22MRNSA,01/14/2019,22:29:45,18,1,0,0,1.0025238990783691
22MRNSA,01/14/2019,22:29:45,19,0,1,1,1.284754991531372
22MRNSA,01/14/2019,22:29:45,19,0,3,-999,-999
22MRNSA,01/14/2019,22:29:45,19,2,3,-999,-999
22MRNSA,01/14/2019,22:29:45,20,0,2,2,1.5856420993804932
22MRNSA,01/14/2019,22:29:45,20,1,3,-999,-999
22MRNSA,01/14/2019,22:29:45,21,0,0,0,0.9238021373748779
22MRNSA,01/14/2019,22:29:45,22,0,0,0,1.051156997680664
22MRNSA,01/14/2019,22:29:45,23,2,2,2,1.120851993560791
22MRNSA,01/14/2019,22:29:45,23,1,3,-999,-999
22MRNSA,01/14/2019,22:29:45,24,1,1,1,1.3196518421173096
