User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
28MOBAL,01/15/2019,16:44:20,0,0,0,-999,-999
28MOBAL,01/15/2019,16:44:20,1,1,2,2,1.887235164642334
28MOBAL,01/15/2019,16:44:20,2,2,0,0,2.2546961307525635
28MOBAL,01/15/2019,16:44:20,2,0,3,-999,-999
28MOBAL,01/15/2019,16:44:20,3,0,2,2,1.0044610500335693
28MOBAL,01/15/2019,16:44:20,4,1,1,1,0.8046441078186035
28MOBAL,01/15/2019,16:44:20,5,1,2,2,1.9032659530639648
28MOBAL,01/15/2019,16:44:20,6,1,0,0,0.9034709930419922
28MOBAL,01/15/2019,16:44:20,7,2,1,1,0.9312059879302979
28MOBAL,01/15/2019,16:44:20,8,1,3,3,1.6533401012420654
28MOBAL,01/15/2019,16:44:20,9,0,2,2,1.2531168460845947
28MOBAL,01/15/2019,16:44:20,10,2,3,3,0.8705370426177979
28MOBAL,01/15/2019,16:44:20,11,2,2,2,1.152817964553833
28MOBAL,01/15/2019,16:44:20,12,2,2,2,2.269887924194336
28MOBAL,01/15/2019,16:44:20,13,1,3,3,1.637929916381836
28MOBAL,01/15/2019,16:44:20,14,0,1,1,1.5533709526062012
28MOBAL,01/15/2019,16:44:20,15,0,0,0,1.036890983581543
28MOBAL,01/15/2019,16:44:20,15,2,1,-999,-999
28MOBAL,01/15/2019,16:44:20,16,2,3,3,1.8025288581848145
28MOBAL,01/15/2019,16:44:20,17,0,3,3,1.1526618003845215
28MOBAL,01/15/2019,16:44:20,17,2,0,-999,-999
28MOBAL,01/15/2019,16:44:20,18,1,0,0,1.253737211227417
28MOBAL,01/15/2019,16:44:20,19,1,1,1,1.2546708583831787
28MOBAL,01/15/2019,16:44:20,19,0,1,-999,-999
28MOBAL,01/15/2019,16:44:20,20,0,0,0,1.3879988193511963
28MOBAL,01/15/2019,16:44:20,21,1,2,2,0.9706130027770996
28MOBAL,01/15/2019,16:44:20,22,2,0,0,1.953244924545288
28MOBAL,01/15/2019,16:44:20,22,0,3,-999,-999
28MOBAL,01/15/2019,16:44:20,23,0,2,2,1.5865750312805176
28MOBAL,01/15/2019,16:44:20,24,1,1,1,1.287705898284912
