User ID,Date,Time,Trial No.,Congruent/Incongruent,Expected Responce,User Response,Timestamp
26FCHSA,01/15/2019,22:38:47,0,1,3,-999,-999
26FCHSA,01/15/2019,22:38:47,0,1,1,-999,-999
26FCHSA,01/15/2019,22:38:47,1,0,0,0,0.9199488162994385
26FCHSA,01/15/2019,22:38:47,2,2,0,0,0.9199090003967285
26FCHSA,01/15/2019,22:38:47,3,0,3,3,0.986530065536499
26FCHSA,01/15/2019,22:38:47,4,2,3,3,0.6700239181518555
26FCHSA,01/15/2019,22:38:47,5,0,0,0,1.1531507968902588
26FCHSA,01/15/2019,22:38:47,6,1,3,3,0.5202288627624512
26FCHSA,01/15/2019,22:38:47,7,1,0,0,0.5870931148529053
26FCHSA,01/15/2019,22:38:47,8,1,1,1,0.6032009124755859
26FCHSA,01/15/2019,22:38:47,9,0,3,3,1.003032922744751
26FCHSA,01/15/2019,22:38:47,10,1,2,2,0.6853530406951904
26FCHSA,01/15/2019,22:38:47,11,0,2,2,0.48653411865234375
26FCHSA,01/15/2019,22:38:47,12,1,0,0,0.7525789737701416
26FCHSA,01/15/2019,22:38:47,13,1,2,2,0.8852498531341553
26FCHSA,01/15/2019,22:38:47,14,2,1,1,0.9367880821228027
26FCHSA,01/15/2019,22:38:47,15,2,2,2,0.8362209796905518
26FCHSA,01/15/2019,22:38:47,16,0,1,1,0.620110034942627
26FCHSA,01/15/2019,22:38:47,17,2,3,3,1.00187087059021
26FCHSA,01/15/2019,22:38:47,18,2,2,2,0.5855929851531982
26FCHSA,01/15/2019,22:38:47,19,2,0,0,0.6699519157409668
26FCHSA,01/15/2019,22:38:47,20,2,1,1,0.5191559791564941
26FCHSA,01/15/2019,22:38:47,21,0,1,1,0.6036489009857178
26FCHSA,01/15/2019,22:38:47,22,0,2,2,0.7694389820098877
26FCHSA,01/15/2019,22:38:47,23,1,3,3,0.46975016593933105
26FCHSA,01/15/2019,22:38:47,24,1,1,1,0.6038141250610352
